                              List of relations
      Schema      |                  Name                  | Type  |  Owner   
------------------+----------------------------------------+-------+----------
 hydrosheds       | hybas_lev12_v1c                        | table | postgres
 public           | spatial_ref_sys                        | table | postgres
 usgs             | wbdhu12                                | table | postgres
 whse_basemapping | bcgs_20k_grid                          | table | postgres
 whse_basemapping | cwb_floodplains_bc_area_svw            | table | postgres
 whse_basemapping | dbm_mof_50k_grid                       | table | postgres
 whse_basemapping | fwa_approx_borders                     | table | postgres
 whse_basemapping | fwa_assessment_watersheds_lut          | table | postgres
 whse_basemapping | fwa_assessment_watersheds_poly         | table | postgres
 whse_basemapping | fwa_assessment_watersheds_streams_lut  | table | postgres
 whse_basemapping | fwa_basins_poly                        | table | postgres
 whse_basemapping | fwa_bays_and_channels_poly             | table | postgres
 whse_basemapping | fwa_bcboundary                         | table | postgres
 whse_basemapping | fwa_coastlines_sp                      | table | postgres
 whse_basemapping | fwa_edge_type_codes                    | table | postgres
 whse_basemapping | fwa_glaciers_poly                      | table | postgres
 whse_basemapping | fwa_islands_poly                       | table | postgres
 whse_basemapping | fwa_lakes_poly                         | table | postgres
 whse_basemapping | fwa_linear_boundaries_sp               | table | postgres
 whse_basemapping | fwa_manmade_waterbodies_poly           | table | postgres
 whse_basemapping | fwa_named_point_features_sp            | table | postgres
 whse_basemapping | fwa_named_streams                      | table | postgres
 whse_basemapping | fwa_named_watersheds_poly              | table | postgres
 whse_basemapping | fwa_obstructions_sp                    | table | postgres
 whse_basemapping | fwa_rivers_poly                        | table | postgres
 whse_basemapping | fwa_stream_networks_channel_width      | table | postgres
 whse_basemapping | fwa_stream_networks_discharge          | table | postgres
 whse_basemapping | fwa_stream_networks_mean_annual_precip | table | postgres
 whse_basemapping | fwa_stream_networks_order_max          | table | postgres
 whse_basemapping | fwa_stream_networks_order_parent       | table | postgres
 whse_basemapping | fwa_stream_networks_sp                 | table | postgres
 whse_basemapping | fwa_streams                            | table | postgres
 whse_basemapping | fwa_streams_20k_50k                    | table | postgres
 whse_basemapping | fwa_streams_pse_conservation_units_lut | table | postgres
 whse_basemapping | fwa_streams_watersheds_lut             | table | postgres
 whse_basemapping | fwa_waterbodies                        | table | postgres
 whse_basemapping | fwa_waterbodies_20k_50k                | table | postgres
 whse_basemapping | fwa_waterbodies_upstream_area          | table | postgres
 whse_basemapping | fwa_waterbody_type_codes               | table | postgres
 whse_basemapping | fwa_watershed_groups_poly              | table | postgres
 whse_basemapping | fwa_watershed_type_codes               | table | postgres
 whse_basemapping | fwa_watersheds_poly                    | table | postgres
 whse_basemapping | fwa_watersheds_upstream_area           | table | postgres
 whse_basemapping | fwa_watersheds_xborder_poly            | table | postgres
 whse_basemapping | fwa_wetlands_poly                      | table | postgres
 whse_basemapping | gba_local_reg_greenspaces_sp           | table | postgres
 whse_basemapping | gba_railway_structure_lines_sp         | table | postgres
 whse_basemapping | gba_railway_tracks_sp                  | table | postgres
 whse_basemapping | gba_transmission_lines_sp              | table | postgres
 whse_basemapping | gns_geographical_names_sp              | table | postgres
 whse_basemapping | nts_250k_grid                          | table | postgres
 whse_basemapping | transport_line                         | table | postgres
 whse_basemapping | transport_line_divided_code            | table | postgres
 whse_basemapping | transport_line_structure_code          | table | postgres
 whse_basemapping | transport_line_surface_code            | table | postgres
 whse_basemapping | transport_line_type_code               | table | postgres
 whse_basemapping | trim_cultural_lines                    | table | postgres
 whse_basemapping | trim_cultural_points                   | table | postgres
 whse_basemapping | trim_ebm_airfields                     | table | postgres
 whse_basemapping | trim_ebm_ocean                         | table | postgres
 whse_basemapping | utmg_utm_zones_sp                      | table | postgres
(61 rows)

